"","ds","Var1","Freq","perc"
"1","Ecología","No disponibles",51,65.3846153846154
"2","Ecología","Texto principal",22,28.2051282051282
"3","Ecología","Suplemento",4,5.12820512820513
"4","Ecología","SiB",1,1.28205128205128
"5","Evolución","GenBank",41,60.2941176470588
"6","Evolución","No disponibles",22,32.3529411764706
"7","Evolución","Suplemento",2,2.94117647058824
"8","Evolución","Texto principal",2,2.94117647058824
"9","Evolución","TreeBase",1,1.47058823529412
"10","Total","No disponibles",73,50
"11","Total","GenBank",41,28.0821917808219
"12","Total","Texto principal",24,16.4383561643836
"13","Total","Suplemento",6,4.10958904109589
"14","Total","SiB",1,0.684931506849315
"15","Total","TreeBase",1,0.684931506849315
